ID,Address,Bedrooms,Bathrooms,Offers Over,Floor,Postcode,Date Added,Estate Agent,URL,N Windows,Bay Window,Kitchen Window,Bathroom Window,Status,Sale Price,Storage Rooms,Size (sq ft),Type,Central Heating,Parking,Double Glazing
1,3/1 28 Albert Avenue,2,1,150000,3rd,G428RE,27/01/2022,Pacitti Jones,https://www.rightmove.co.uk/properties/83617884#/?channel=RES_BUY,4,Yes,Yes,No,Under Offer,-,1,,Tenement,,,
2,1/1 Albert Road,2,1,145000,1st,G428DN,04/03/2022,Clyde Property,https://www.rightmove.co.uk/properties/120679793#/?channel=RES_BUY,5,No,Yes,No,Under Offer,-,2,,Tenement,,,
3,2/2 19 Dixon Avenue,2,1,120000,2nd,G428EB,06/10/2021,Ross Sales & Lettings,https://www.rightmove.co.uk/properties/114448835#/?channel=RES_BUY,4,No,Yes,No,Under Offer,-,1,667,Tenement,,,
4,28 Albert Road,2,2,100000,2nd,G428DN,14/01/2022,Purplebricks,https://www.rightmove.co.uk/properties/118721804#/?channel=RES_BUY,3,No,Yes,No,Sold STC,,0,,Tenement,,,
5,2/3 405 Victoria Road,2,1,130000, 2nd,G428RW,13/01/2022,MQ Estate Agents and Lettings,https://www.rightmove.co.uk/properties/118667231#/?channel=RES_BUY,,No,No,Yes,Available,-,0,,Tenement,,,
6,443 Victoria Road,2,1,145000,1st,G428YU,18/02/2022,Purplebricks,https://www.rightmove.co.uk/properties/120180824#/?channel=RES_BUY,,,,,,,,,Tenement,,,
7,388 Victoria Road,2,1,139500,1st,G428YP,14/06/2021,Westgate Estate Agents,https://www.rightmove.co.uk/properties/108770072#/?channel=RES_BUY,4,No,Yes,Yes,Sold STC,-,1,,Tenement,,,
8,Bowman Street,2,1,130000,3rd,,07/10/2021,,https://www.rightmove.co.uk/properties/114498731#/?channel=RES_BUY,,,,,,,,,Tenement,,,
9,Bowman Street,2,1,145000,2nd,,18/11/2021,,https://www.rightmove.co.uk/properties/115782062#/?channel=RES_BUY,,,,,Under Offer,,,,Tenement,,,
10,Calder Street,2,1,95000,3rd,,05/11/2021,MQ Estate Agents and Lettings,https://www.rightmove.co.uk/properties/115875380#/?channel=RES_BUY,,,,,,,,,Tenement,,,
11,92 Kingarth Street,2,1,105000,3rd,G427SB,02/12/2021,Scottish Property Centre,https://www.rightmove.co.uk/properties/115842980#/?channel=RES_BUY,,,,,,,,,Tenement,,,
12,335 Victoria Road,2,1,99000,1st,G427SA,02/11/2021,Scottish Property Centre,https://www.rightmove.co.uk/properties/115843031#/?channel=RES_BUY,,,,,,,,,Tenement,,,
13,Allison Street,2,1,135000,3rd,G428NL,06/08/2021,Clyde Property,https://www.rightmove.co.uk/properties/111563027#/?channel=RES_BUY,,,,,,,,,Conversion,,,
14,52 Allison Court,2,1,129000,2nd,G428NL,31/01/2022,Scottish Property Centre,https://www.rightmove.co.uk/properties/119350976#/?channel=RES_BUY,,,,,Sold STC,,,,Conversion,,,
15,58 Westmoreland Street,2,1,90000,3rd,,13/09/2021,Purplebricks,https://www.rightmove.co.uk/properties/110163125#/?channel=RES_BUY,,,,,Sold STC,,,,Tenement,1,,
